No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
99,5 GHz (VLBA),1.4,,,Jy,5000000000.0,1.4,,,,,7000000000.0,,,,,VLBA,?,5.0,GHz,total flux; beam filling or dilution corrected,2004ApJ...616..110H
100,5 GHz (VLBA),746.0,,,mJy,5000000000.0,0.746,,,,,3730000000.0,,,,,VLBA,?,5.0,GHz,flux integrated from map or image,2012ApJ...744..177L
101,5000 MHz,0.81,,,Jy,5000000000.0,0.81,,,,,4050000000.0,,,,,Parkes,?,5000.0,MHz,integrated from scans,1990PKS90.C...0000W
102,5 GHz (VLA),480.0,,,mJy,4889999872.0,0.48,,,,,2347199938.56,,,,,VLA,A/D configuration,4.885,GHz,flux integrated from map or image,1997A&AS..122..235L
103,4.85 GHz,1261.0,15.0,15.0,mJy,4849999870.0,1.261,0.18915,0.18915,,,6115849836.07,917377475.4105,917377475.4105,,,Green Bank 91m,?,4.85,GHz,peak flux,1991ApJS...75....1B
104,4.85 GHz,1263.0,170.0,170.0,mJy,4849999870.0,1.263,0.17,0.17,,,6125549835.81,824499977.9,824499977.9,,,Green Bank 91m,?,4.85,GHz,modelled datum,1991ApJS...75.1011G
105,4830 MHz (NRAO),1210.0,,,mJy,4830000130.0,1.21,,,,,5844300157.3,,,,,91.4m,Seven-feed receiver,4830.0,MHz,flux integrated from map or image,1990ApJS...72..621L
106,4.8 GHz (RATAN),1.31,0.067,0.067,Jy,4800000000.0,1.31,0.067,0.067,,,6288000000.0,321600000.0,321600000.0,,,RATAN-600,?,4.8,GHz,flux integrated from map or image,2015MNRAS.450.2658M
107,2700 MHz,1.1,,,Jy,2700000000.0,1.1,,,,,2970000000.0,,,,,Parkes,?,2700.0,MHz,integrated from scans,1990PKS90.C...0000W
108,2.3 GHz (RATAN),1.8,0.182,0.182,Jy,2300000000.0,1.8,0.182,0.182,,,4140000000.0,418600000.0,418600000.0,,,RATAN-600,?,2.3,GHz,flux integrated from map or image,2015MNRAS.450.2658M
109,1410 MHz,1.5,,,Jy,1410000000.0,1.5,,,,,2115000000.0,,,,,Parkes,?,1410.0,MHz,integrated from scans,1990PKS90.C...0000W
110,1.4 GHz (VLA),0.992,,,Jy,1400000000.0,0.992,,,,,1388800000.0,,,,,VLA,A configuration,1.4,GHz,from fitting to map,2007ApJS..171..376C
111,1.40 GHz,1974.0,,,mJy,1400000000.0,1.974,,,,,2763600000.0,,,,,Green Bank 91m,?,1.4,GHz,flux integrated from map or image,1992ApJS...79..331W
112,1.4 GHz (FIRST),1661.8,,,mJy,1400000000.0,1.662,,,,,2326800000.0,,,,,VLA,B configuration,1.4,GHz,flux integrated from map or image,2015MNRAS.454.3864B
113,1.4 GHz (FIRST),1661.8,,,mJy,1400000000.0,1.662,,,,,2326800000.0,,,,,VLA,B configuration,1.4,GHz,flux integrated from map or image,2015MNRAS.454.3864B
114,1.4 GHz (VLA),1.061,,,Jy,1400000000.0,1.061,,,,,1485400000.0,,,,,VLA,A configuration,1.4,GHz,from fitting to map,2007ApJS..171..376C
115,1.4GHz,2095.1,73.9,73.9,mJy,1400000000.0,2.095,0.0739,0.0739,,,2933000000.0,103460000.0,103460000.0,,,VLA,"D, DnC configurations",1.4,GHz,flux integrated from map or image,1998AJ....115.1693C
116,1381 MHz (WSRT),1540.04,,,mJy,1380000000.0,1.54,,,,,2125200000.0,,,,,WSRT,9A=96m array,1381.0,MHz,flux integrated from map or image,2010ApJ...714.1170M
117,635 MHz,2.6,,,Jy,635000000.0,2.6,,,,,1651000000.0,,,,,Parkes,?,635.0,MHz,integrated from scans,1990PKS90.C...0000W
118,365 MHz (Texas),3.475,0.104,0.104,Jy,365000000.0,3.475,0.104,0.104,,,1268375000.0,37960000.0,37960000.0,,,Texas Interferometer,Texas Interferometer,365.0,MHz,integrated from scans,1996AJ....111.1945D
119,178 MHz,6.6,,,Jy,178000000.0,6.6,,,,,1174800000.0,,,,,Parkes,?,178.0,MHz,integrated from scans,1990PKS90.C...0000W
120,178 MHz,6.6,17.5,17.5,Jy,178000000.0,6.6,1.155,1.155,,,1174800000.0,205590000.0,205590000.0,,,Ryle,Receivers,178.0,MHz,integrated from scans,1965MmRAS..69..183P
121,160 MHz,5.9,,,Jy,160000000.0,5.9,,,,,944000000.0,,,,,Culgoora Circular Array,?,160.0,MHz,flux integrated from map or image,1995AuJPh..48..143S
122,151 MHz,6.22,4.1,4.1,Jy,151000000.0,6.22,0.25285,0.25285,,,939220000.0,38180350.0,38180350.0,,,CLFST,?,151.0,MHz,flux integrated from map or image; beam filling or dilution corrected,1996MNRAS.282..779W
123,151 MHz (VLBI),7.66,,,Jy,151000000.0,7.66,,,,,1156660000.0,,,,,VLBA,?,151.0,MHz,modelled datum,2010A&A...520A..62A
124,80 MHz,10.0,,,Jy,80000000.0,10.0,,,,,800000000.0,,,,,Parkes,?,80.0,MHz,integrated from scans,1990PKS90.C...0000W
125,80 MHz,11.0,,,Jy,80000000.0,11.0,,,,,880000000.0,,,,,Culgoora Circular Array,?,80.0,MHz,flux integrated from map or image,1995AuJPh..48..143S
126,74 MHz,13.3,,,Jy,73800000.0,13.34,,,,,984492000.0,,,,,VLA,A configuration,74.0,MHz,flux integrated from map or image,2004ApJS..150..417C
127,74 MHz (VLA),9.21,0.93,0.93,Jy,73800000.0,9.21,0.93,0.93,,,679698000.0,68634000.0,68634000.0,,,VLA,"B, BnA configurations",73.8,MHz,flux integrated from map or image,2007AJ....134.1245C
128,60 MHz,16.0,3.0,3.0,Jy,60000000.0,16.0,3.0,3.0,,,960000000.0,180000000.0,180000000.0,,,?,?,60.0,MHz,modelled datum; beam filling or dilution corrected,1968Afz.....4..129A
